('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006192 -0.138812
199859139896429 0.006206 -0.139152
199856641126191 0.006221 -0.139369
199854142355954 0.006236 -0.139478
199851643585717 0.006252 -0.139485
199849144815479 0.006269 -0.139399
199846646045242 0.006287 -0.139224
199844147275005 0.006306 -0.138966
199841648504767 0.006327 -0.138632
199839149734530 0.006349 -0.138229
199836650964292 0.006373 -0.137770
199834152194055 0.006399 -0.137277
199831653423818 0.006428 -0.136782
199829154653580 0.006460 -0.136335
199826655883343 0.006496 -0.136019
199824157113105 0.006537 -0.135964
199821658342868 0.006585 -0.136371
199819159572631 0.006639 -0.137557
199816660802393 0.006702 -0.140015
199814162032156 0.006773 -0.144491
199811663261919 0.006852 -0.152086
199809164491681 0.006933 -0.164301
199806665721444 0.007000 -0.182865
199804166951206 0.007024 -0.208882
199801668180969 0.006956 -0.240501
199799169410732 0.006749 -0.268759
199796670640494 0.006424 -0.275525
199794171870257 0.006129 -0.245770
199791673100020 0.006040 -0.192794
199789174329782 0.006161 -0.149610
199786675559545 0.006362 -0.130533
199784176789307 0.006541 -0.129144
199781678019070 0.006669 -0.135861
199779179248833 0.006752 -0.144820
199776680478595 0.006802 -0.153414
199774181708358 0.006832 -0.160768
199771682938120 0.006850 -0.166752
199769184167883 0.006862 -0.171510
199766685397646 0.006870 -0.175254
199764186627408 0.006876 -0.178189
199761687857171 0.006882 -0.180487
199759189086934 0.006888 -0.182285
199756690316696 0.006894 -0.183691
199754191546459 0.006901 -0.184786
199751692776221 0.006909 -0.185633
199749194005984 0.006917 -0.186280
199746695235747 0.006926 -0.186761
199744196465509 0.006936 -0.187104
199741697695272 0.006946 -0.187330
199739198925035 0.006957 -0.187452
199736700154797 0.006969 -0.187483
199734201384560 0.006982 -0.187429
199731702614322 0.006995 -0.187297
199729203844085 0.007009 -0.187088
199726705073848 0.007023 -0.186805
199724206303610 0.007039 -0.186448
199721707533373 0.007056 -0.186016
