('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006158 -0.134442
199859139896429 0.006176 -0.134113
199856641126191 0.006194 -0.133682
199854142355954 0.006214 -0.133148
199851643585717 0.006234 -0.132511
199849144815479 0.006257 -0.131774
199846646045242 0.006281 -0.130945
199844147275005 0.006308 -0.130037
199841648504767 0.006337 -0.129083
199839149734530 0.006371 -0.128136
199836650964292 0.006409 -0.127290
199834152194055 0.006452 -0.126704
199831653423818 0.006503 -0.126640
199829154653580 0.006562 -0.127519
199826655883343 0.006630 -0.130007
199824157113105 0.006707 -0.135095
199821658342868 0.006788 -0.144122
199819159572631 0.006859 -0.158525
199816660802393 0.006896 -0.178865
199814162032156 0.006862 -0.202686
199811663261919 0.006733 -0.222098
199809164491681 0.006547 -0.225934
199806665721444 0.006402 -0.210743
199804166951206 0.006367 -0.187755
199801668180969 0.006420 -0.170563
199799169410732 0.006502 -0.163048
199796670640494 0.006576 -0.162377
199794171870257 0.006630 -0.164972
199791673100020 0.006666 -0.168576
199789174329782 0.006690 -0.172111
199786675559545 0.006706 -0.175176
199784176789307 0.006718 -0.177682
199781678019070 0.006727 -0.179668
199779179248833 0.006734 -0.181213
199776680478595 0.006742 -0.182399
199774181708358 0.006749 -0.183297
199771682938120 0.006757 -0.183966
199769184167883 0.006765 -0.184451
199766685397646 0.006773 -0.184788
199764186627408 0.006783 -0.185004
199761687857171 0.006792 -0.185118
199759189086934 0.006802 -0.185144
199756690316696 0.006813 -0.185093
199754191546459 0.006824 -0.184971
199751692776221 0.006836 -0.184782
199749194005984 0.006848 -0.184528
199746695235747 0.006861 -0.184208
199744196465509 0.006874 -0.183822
199741697695272 0.006887 -0.183365
199739198925035 0.006901 -0.182833
199736700154797 0.006916 -0.182219
199734201384560 0.006932 -0.181517
199731702614322 0.006948 -0.180717
199729203844085 0.006965 -0.179810
199726705073848 0.006983 -0.178785
199724206303610 0.007002 -0.177628
199721707533373 0.007023 -0.176329
199719208763135 0.007046 -0.174873
199716709992898 0.007071 -0.173250
199714211222661 0.007099 -0.171454
199711712452423 0.007130 -0.169487
199709213682186 0.007166 -0.167370
199706714911949 0.007209 -0.165153
199704216141711 0.007259 -0.162941
199701717371474 0.007319 -0.160936
199699218601236 0.007392 -0.159499
199696719830999 0.007481 -0.159253
199694221060762 0.007589 -0.161230
199691722290524 0.007716 -0.167027
199689223520287 0.007854 -0.178841
199686724750050 0.007980 -0.198996
199684225979812 0.008050 -0.228263
199681727209575 0.008002 -0.262658
199679228439337 0.007809 -0.291113
199676729669100 0.007535 -0.300533
199674230898863 0.007310 -0.288572
199671732128625 0.007209 -0.266886
199669233358388 0.007207 -0.247906
199666734588150 0.007252 -0.235960
199664235817913 0.007306 -0.229919
199661737047676 0.007353 -0.227497
199659238277438 0.007391 -0.226955
199656739507201 0.007420 -0.227265
199654240736964 0.007443 -0.227890
199651741966726 0.007462 -0.228570
199649243196489 0.007477 -0.229191
199646744426251 0.007491 -0.229711
199644245656014 0.007504 -0.230121
199641746885777 0.007516 -0.230427
199639248115539 0.007528 -0.230639
199636749345302 0.007541 -0.230771
199634250575065 0.007553 -0.230831
199631751804827 0.007565 -0.230830
199629253034590 0.007578 -0.230774
199626754264352 0.007591 -0.230668
199624255494115 0.007605 -0.230516
199621756723878 0.007619 -0.230320
199619257953640 0.007634 -0.230081
199616759183403 0.007649 -0.229798
199614260413165 0.007664 -0.229472
199611761642928 0.007681 -0.229100
199609262872691 0.007698 -0.228681
199606764102453 0.007716 -0.228213
199604265332216 0.007734 -0.227693
199601766561979 0.007754 -0.227120
199599267791741 0.007775 -0.226491
199596769021504 0.007797 -0.225806
199594270251266 0.007822 -0.225069
199591771481029 0.007848 -0.224283
199589272710792 0.007876 -0.223461
199586773940554 0.007907 -0.222622
199584275170317 0.007942 -0.221799
199581776400080 0.007981 -0.221044
