('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.005903 -0.065039
199859139896429 0.006144 -0.051880
199856641126191 0.006378 -0.060458
199854142355954 0.006537 -0.080728
199851643585717 0.006619 -0.102985
199849144815479 0.006646 -0.122332
199846646045242 0.006642 -0.137448
199844147275005 0.006624 -0.148650
199841648504767 0.006602 -0.156735
199839149734530 0.006581 -0.162501
199836650964292 0.006563 -0.166596
199834152194055 0.006548 -0.169502
199831653423818 0.006537 -0.171569
199829154653580 0.006529 -0.173043
199826655883343 0.006524 -0.174098
199824157113105 0.006522 -0.174856
199821658342868 0.006522 -0.175403
199819159572631 0.006524 -0.175802
199816660802393 0.006528 -0.176094
199814162032156 0.006533 -0.176312
199811663261919 0.006539 -0.176479
199809164491681 0.006547 -0.176612
199806665721444 0.006555 -0.176723
199804166951206 0.006565 -0.176823
199801668180969 0.006575 -0.176920
199799169410732 0.006586 -0.177021
199796670640494 0.006598 -0.177133
199794171870257 0.006610 -0.177265
199791673100020 0.006624 -0.177424
199789174329782 0.006637 -0.177621
199786675559545 0.006652 -0.177870
199784176789307 0.006667 -0.178186
199781678019070 0.006682 -0.178592
199779179248833 0.006699 -0.179117
199776680478595 0.006715 -0.179801
199774181708358 0.006733 -0.180695
199771682938120 0.006751 -0.181869
199769184167883 0.006768 -0.183419
199766685397646 0.006786 -0.185469
199764186627408 0.006802 -0.188183
199761687857171 0.006816 -0.191772
199759189086934 0.006823 -0.196482
199756690316696 0.006820 -0.202551
199754191546459 0.006798 -0.210066
199751692776221 0.006744 -0.218564
199749194005984 0.006639 -0.226063
199746695235747 0.006464 -0.227030
199744196465509 0.006227 -0.209568
199741697695272 0.006025 -0.157786
199739198925035 0.006076 -0.075775
199736700154797 0.006508 -0.012401
199734201384560 0.007109 -0.007208
199731702614322 0.007575 -0.044469
199729203844085 0.007809 -0.092999
199726705073848 0.007866 -0.135514
199724206303610 0.007830 -0.167395
199721707533373 0.007758 -0.189599
199719208763135 0.007680 -0.204486
199716709992898 0.007607 -0.214257
199714211222661 0.007545 -0.220573
199711712452423 0.007493 -0.224593
199709213682186 0.007452 -0.227098
199706714911949 0.007420 -0.228604
199704216141711 0.007395 -0.229454
199701717371474 0.007376 -0.229875
199699218601236 0.007362 -0.230019
199696719830999 0.007352 -0.229986
199694221060762 0.007346 -0.229844
199691722290524 0.007343 -0.229638
199689223520287 0.007342 -0.229401
199686724750050 0.007343 -0.229153
199684225979812 0.007346 -0.228907
199681727209575 0.007350 -0.228675
199679228439337 0.007356 -0.228462
199676729669100 0.007363 -0.228275
199674230898863 0.007371 -0.228115
199671732128625 0.007380 -0.227987
199669233358388 0.007390 -0.227893
199666734588150 0.007400 -0.227837
199664235817913 0.007412 -0.227823
199661737047676 0.007424 -0.227855
199659238277438 0.007436 -0.227940
199656739507201 0.007449 -0.228087
199654240736964 0.007463 -0.228304
199651741966726 0.007477 -0.228607
199649243196489 0.007491 -0.229011
199646744426251 0.007506 -0.229538
199644245656014 0.007521 -0.230215
199641746885777 0.007536 -0.231074
199639248115539 0.007550 -0.232156
199636749345302 0.007564 -0.233503
199634250575065 0.007575 -0.235163
199631751804827 0.007584 -0.237172
199629253034590 0.007587 -0.239536
199626754264352 0.007584 -0.242187
199624255494115 0.007569 -0.244891
199621756723878 0.007538 -0.247089
199619257953640 0.007489 -0.247649
199616759183403 0.007419 -0.244578
199614260413165 0.007340 -0.235009
199611761642928 0.007282 -0.216363
199609262872691 0.007298 -0.189594
199606764102453 0.007433 -0.162542
199604265332216 0.007677 -0.146897
199601766561979 0.007954 -0.148721
199599267791741 0.008183 -0.164512
199596769021504 0.008324 -0.186477
199594270251266 0.008384 -0.208292
199591771481029 0.008389 -0.226784
199589272710792 0.008362 -0.241130
199586773940554 0.008323 -0.251682
199584275170317 0.008281 -0.259181
199581776400080 0.008241 -0.264384
199579277629842 0.008207 -0.267921
199576778859605 0.008178 -0.270277
199574280089367 0.008155 -0.271808
199571781319130 0.008136 -0.272768
199569282548893 0.008123 -0.273337
199566783778655 0.008113 -0.273643
199564285008418 0.008107 -0.273774
199561786238180 0.008104 -0.273793
199559287467943 0.008103 -0.273744
199556788697706 0.008104 -0.273658
199554289927468 0.008107 -0.273556
199551791157231 0.008112 -0.273456
199549292386994 0.008118 -0.273367
199546793616756 0.008125 -0.273298
199544294846519 0.008134 -0.273256
199541796076281 0.008143 -0.273245
199539297306044 0.008153 -0.273271
199536798535807 0.008164 -0.273337
199534299765569 0.008176 -0.273448
199531800995332 0.008188 -0.273609
199529302225095 0.008201 -0.273827
199526803454857 0.008214 -0.274107
199524304684620 0.008228 -0.274458
199521805914382 0.008242 -0.274890
199519307144145 0.008256 -0.275414
199516808373908 0.008270 -0.276045
199514309603670 0.008283 -0.276795
199511810833433 0.008296 -0.277678
199509312063195 0.008308 -0.278706
199506813292958 0.008318 -0.279879
199504314522721 0.008325 -0.281178
199501815752483 0.008328 -0.282547
199499316982246 0.008326 -0.283856
199496818212009 0.008316 -0.284848
199494319441771 0.008297 -0.285068
199491820671534 0.008269 -0.283764
199489321901296 0.008234 -0.279862
199486823131059 0.008203 -0.272165
199484324360822 0.008196 -0.260075
199481825590584 0.008241 -0.244920
199479326820347 0.008356 -0.230859
199476828050110 0.008535 -0.223429
199474329279872 0.008733 -0.225865
199471830509635 0.008903 -0.236969
199469331739397 0.009014 -0.252672
199466832969160 0.009064 -0.268912
199464334198923 0.009069 -0.283174
199461835428685 0.009047 -0.294506
199459336658448 0.009013 -0.302936
199456837888210 0.008975 -0.308922
199454339117973 0.008939 -0.313019
199451840347736 0.008908 -0.315730
199449341577498 0.008882 -0.317457
199446842807261 0.008862 -0.318504
199444344037024 0.008846 -0.319090
199441845266786 0.008836 -0.319372
199439346496549 0.008828 -0.319458
199436847726311 0.008825 -0.319425
199434348956074 0.008824 -0.319325
199431850185837 0.008825 -0.319194
199429351415599 0.008829 -0.319056
199426852645362 0.008834 -0.318928
199424353875125 0.008841 -0.318822
199421855104887 0.008849 -0.318744
199419356334650 0.008859 -0.318701
199416857564412 0.008869 -0.318695
199414358794175 0.008880 -0.318729
199411860023938 0.008892 -0.318806
199409361253700 0.008905 -0.318927
199406862483463 0.008918 -0.319095
199404363713225 0.008932 -0.319314
199401864942988 0.008947 -0.319586
199399366172751 0.008962 -0.319917
199396867402513 0.008977 -0.320314
199394368632276 0.008993 -0.320785
199391869862039 0.009008 -0.321340
199389371091801 0.009024 -0.321991
199386872321564 0.009040 -0.322756
199384373551326 0.009056 -0.323651
199381874781089 0.009071 -0.324698
199379376010852 0.009084 -0.325918
199376877240614 0.009096 -0.327329
199374378470377 0.009105 -0.328935
199371879700140 0.009109 -0.330711
199369380929902 0.009106 -0.332567
199366882159665 0.009094 -0.334286
199364383389427 0.009069 -0.335417
199361884619190 0.009029 -0.335113
199359385848953 0.008974 -0.331970
199356887078715 0.008915 -0.324067
199354388308478 0.008879 -0.309778
199351889538240 0.008912 -0.289931
199349390768003 0.009053 -0.270174
199346891997766 0.009297 -0.259292
199344393227528 0.009572 -0.262456
199341894457291 0.009796 -0.277278
199339395687054 0.009927 -0.297226
199336896916816 0.009974 -0.316667
199334398146579 0.009963 -0.332755
199331899376341 0.009922 -0.344851
199329400606104 0.009872 -0.353409
199326901835867 0.009821 -0.359219
199324403065629 0.009777 -0.363039
199321904295392 0.009740 -0.365477
199319405525155 0.009710 -0.366981
199316906754917 0.009687 -0.367866
199314407984680 0.009670 -0.368351
199311909214442 0.009658 -0.368583
199309410444205 0.009650 -0.368661
199306911673968 0.009646 -0.368651
199304412903730 0.009645 -0.368598
199301914133493 0.009647 -0.368530
199299415363255 0.009651 -0.368467
199296916593018 0.009656 -0.368419
199294417822781 0.009663 -0.368396
199291919052543 0.009672 -0.368401
199289420282306 0.009681 -0.368437
199286921512069 0.009692 -0.368506
199284422741831 0.009703 -0.368609
199281923971594 0.009716 -0.368747
199279425201356 0.009728 -0.368920
199276926431119 0.009742 -0.369131
199274427660882 0.009756 -0.369381
199271928890644 0.009771 -0.369674
199269430120407 0.009785 -0.370014
199266931350170 0.009801 -0.370406
199264432579932 0.009816 -0.370859
199261933809695 0.009832 -0.371381
199259435039457 0.009848 -0.371985
199256936269220 0.009864 -0.372685
199254437498983 0.009879 -0.373497
199251938728745 0.009893 -0.374439
199249439958508 0.009906 -0.375525
199246941188270 0.009916 -0.376762
199244442418033 0.009922 -0.378133
199241943647796 0.009923 -0.379578
199239444877558 0.009916 -0.380943
199236946107321 0.009898 -0.381910
199234447337084 0.009866 -0.381877
199231948566846 0.009821 -0.379826
199229449796609 0.009767 -0.374272
199226951026371 0.009723 -0.363632
199224452256134 0.009725 -0.347484
199221953485897 0.009817 -0.328612
199219454715659 0.010017 -0.313582
199216955945422 0.010290 -0.309107
199214457175185 0.010561 -0.316899
199211958404947 0.010764 -0.333157
199209459634710 0.010876 -0.352331
199206960864472 0.010911 -0.370322
199204462094235 0.010895 -0.385210
199201963323998 0.010853 -0.396635
199199464553760 0.010801 -0.404994
199196965783523 0.010749 -0.410919
199194467013285 0.010702 -0.415024
199191968243048 0.010661 -0.417813
199189469472811 0.010626 -0.419673
199186970702573 0.010599 -0.420884
199184471932336 0.010577 -0.421648
199181973162099 0.010560 -0.422107
199179474391861 0.010548 -0.422360
199176975621624 0.010540 -0.422478
199174476851386 0.010535 -0.422509
199171978081149 0.010533 -0.422486
199169479310912 0.010533 -0.422433
199166980540674 0.010536 -0.422365
199164481770437 0.010540 -0.422296
199161983000200 0.010546 -0.422232
199159484229962 0.010553 -0.422179
199156985459725 0.010562 -0.422142
199154486689487 0.010572 -0.422124
199151987919250 0.010582 -0.422129
199149489149013 0.010594 -0.422160
199146990378775 0.010607 -0.422222
199144491608538 0.010621 -0.422318
199141992838300 0.010635 -0.422457
199139494068063 0.010650 -0.422645
199136995297826 0.010666 -0.422894
199134496527588 0.010682 -0.423215
199131997757351 0.010698 -0.423626
199129498987114 0.010715 -0.424147
199127000216876 0.010732 -0.424801
199124501446639 0.010748 -0.425618
199122002676401 0.010763 -0.426628
199119503906164 0.010776 -0.427859
199117005135927 0.010785 -0.429325
199114506365689 0.010788 -0.431010
199112007595452 0.010782 -0.432818
199109508825215 0.010762 -0.434500
199107010054977 0.010725 -0.435511
199104511284740 0.010665 -0.434800
199102012514502 0.010583 -0.430567
199099513744265 0.010496 -0.420289
199097014974028 0.010445 -0.401779
199094516203790 0.010500 -0.376190
199092017433553 0.010726 -0.351308
199089518663316 0.011108 -0.338912
199087019893078 0.011531 -0.345241
199084521122841 0.011864 -0.366343
199082022352603 0.012048 -0.393401
199079523582366 0.012097 -0.419239
199077024812129 0.012057 -0.440384
199074526041891 0.011973 -0.456138
199072027271654 0.011874 -0.467154
199069528501416 0.011777 -0.474480
199067029731179 0.011690 -0.479120
199064530960942 0.011615 -0.481880
199062032190704 0.011554 -0.483357
199059533420467 0.011504 -0.483977
199057034650230 0.011464 -0.484037
199054535879992 0.011433 -0.483739
199052037109755 0.011409 -0.483220
199049538339517 0.011392 -0.482575
199047039569280 0.011380 -0.481865
199044540799043 0.011372 -0.481132
199042042028805 0.011369 -0.480405
199039543258568 0.011368 -0.479702
199037044488331 0.011371 -0.479036
199034545718093 0.011376 -0.478413
199032046947856 0.011384 -0.477841
199029548177618 0.011393 -0.477323
199027049407381 0.011404 -0.476863
199024550637144 0.011417 -0.476463
199022051866906 0.011431 -0.476127
199019553096669 0.011447 -0.475859
199017054326431 0.011464 -0.475664
199014555556194 0.011482 -0.475549
199012056785957 0.011502 -0.475523
199009558015719 0.011522 -0.475596
199007059245482 0.011543 -0.475781
199004560475245 0.011565 -0.476094
199002061705007 0.011587 -0.476553
198999562934770 0.011609 -0.477178
198997064164532 0.011631 -0.477992
198994565394295 0.011651 -0.479016
198992066624058 0.011669 -0.480260
198989567853820 0.011684 -0.481721
198987069083583 0.011692 -0.483350
198984570313346 0.011691 -0.485022
198982071543108 0.011678 -0.486467
198979572772871 0.011649 -0.487164
198977074002633 0.011603 -0.486198
198974575232396 0.011541 -0.482133
198972076462159 0.011481 -0.473127
198969577691921 0.011461 -0.457798
198967078921684 0.011539 -0.437373
198964580151446 0.011771 -0.418000
198962081381209 0.012148 -0.409210
198959582610972 0.012568 -0.416993
198957083840734 0.012902 -0.438910
198954585070497 0.013075 -0.467089
198952086300260 0.013096 -0.494123
198949587530022 0.013014 -0.515962
198947088759785 0.012883 -0.531608
198944589989547 0.012739 -0.541745
198942091219310 0.012604 -0.547631
198939592449073 0.012488 -0.550502
198937093678835 0.012391 -0.551362
198934594908598 0.012314 -0.550946
198932096138361 0.012255 -0.549766
198929597368123 0.012210 -0.548164
198927098597886 0.012177 -0.546366
198924599827648 0.012154 -0.544512
198922101057411 0.012140 -0.542693
198919602287174 0.012132 -0.540962
198917103516936 0.012130 -0.539351
198914604746699 0.012133 -0.537875
198912105976461 0.012140 -0.536543
198909607206224 0.012150 -0.535357
198907108435987 0.012163 -0.534316
198904609665749 0.012179 -0.533416
198902110895512 0.012197 -0.532657
198899612125275 0.012216 -0.532033
198897113355037 0.012238 -0.531545
198894614584800 0.012260 -0.531191
198892115814562 0.012284 -0.530971
198889617044325 0.012310 -0.530888
198887118274088 0.012336 -0.530945
198884619503850 0.012363 -0.531149
198882120733613 0.012391 -0.531508
198879621963376 0.012420 -0.532032
198877123193138 0.012449 -0.532735
198874624422901 0.012478 -0.533633
198872125652663 0.012506 -0.534742
198869626882426 0.012534 -0.536082
198867128112189 0.012559 -0.537667
198864629341951 0.012582 -0.539506
198862130571714 0.012600 -0.541589
198859631801476 0.012611 -0.543874
198857133031239 0.012613 -0.546246
198854634261002 0.012602 -0.548471
198852135490764 0.012573 -0.550105
198849636720527 0.012526 -0.550363
198847137950290 0.012460 -0.547981
198844639180052 0.012388 -0.541208
198842140409815 0.012343 -0.528329
198839641639577 0.012383 -0.509381
198837142869340 0.012579 -0.488878
198834644099103 0.012951 -0.476327
198832145328865 0.013416 -0.480410
198829646558628 0.013814 -0.501388
198827147788391 0.014030 -0.531356
198824649018153 0.014051 -0.561031
198822150247916 0.013937 -0.584721
198819651477678 0.013762 -0.600840
198817152707441 0.013578 -0.610258
198814653937204 0.013413 -0.614694
198812155166966 0.013276 -0.615821
198809656396729 0.013170 -0.614942
198807157626491 0.013090 -0.612965
198804658856254 0.013034 -0.610478
198802160086017 0.012995 -0.607844
198799661315779 0.012971 -0.605277
198797162545542 0.012958 -0.602894
198794663775305 0.012954 -0.600753
198792165005067 0.012958 -0.598880
198789666234830 0.012966 -0.597278
198787167464592 0.012979 -0.595939
198784668694355 0.012996 -0.594852
198782169924118 0.013015 -0.594000
198779671153880 0.013036 -0.593370
198777172383643 0.013059 -0.592945
198774673613406 0.013083 -0.592713
198772174843168 0.013109 -0.592663
198769676072931 0.013135 -0.592785
198767177302693 0.013162 -0.593072
198764678532456 0.013190 -0.593517
198762179762219 0.013218 -0.594117
198759680991981 0.013246 -0.594871
198757182221744 0.013274 -0.595777
198754683451506 0.013302 -0.596837
198752184681269 0.013329 -0.598054
198749685911032 0.013356 -0.599433
198747187140794 0.013381 -0.600979
198744688370557 0.013405 -0.602695
198742189600320 0.013427 -0.604583
198739690830082 0.013446 -0.606642
198737192059845 0.013460 -0.608857
198734693289607 0.013470 -0.611196
198732194519370 0.013472 -0.613590
198729695749133 0.013465 -0.615914
198727196978895 0.013447 -0.617944
198724698208658 0.013414 -0.619301
198722199438421 0.013368 -0.619379
198719700668183 0.013309 -0.617278
198717201897946 0.013249 -0.611846
198714703127708 0.013213 -0.602060
