('port 0','TE',1,'port 0',1,'transmission')
199396867402513 0.008674 -0.285579
199394368632276 0.008790 -0.286825
199391869862039 0.008880 -0.289863
199389371091801 0.008948 -0.293517
199386872321564 0.009000 -0.297186
199384373551326 0.009041 -0.300597
199381874781089 0.009074 -0.303649
199379376010852 0.009102 -0.306327
199376877240614 0.009126 -0.308653
199374378470377 0.009147 -0.310667
199371879700140 0.009167 -0.312410
199369380929902 0.009186 -0.313922
199366882159665 0.009205 -0.315237
199364383389427 0.009223 -0.316385
199361884619190 0.009241 -0.317393
199359385848953 0.009260 -0.318280
199356887078715 0.009279 -0.319065
199354388308478 0.009298 -0.319762
199351889538240 0.009319 -0.320384
199349390768003 0.009339 -0.320941
199346891997766 0.009361 -0.321442
199344393227528 0.009384 -0.321896
199341894457291 0.009408 -0.322313
199339395687054 0.009433 -0.322702
199336896916816 0.009460 -0.323074
199334398146579 0.009489 -0.323441
199331899376341 0.009519 -0.323820
199329400606104 0.009552 -0.324234
199326901835867 0.009588 -0.324712
199324403065629 0.009626 -0.325295
199321904295392 0.009669 -0.326037
199319405525155 0.009716 -0.327017
199316906754917 0.009767 -0.328341
199314407984680 0.009825 -0.330159
199311909214442 0.009888 -0.332679
199309410444205 0.009958 -0.336189
199306911673968 0.010035 -0.341082
199304412903730 0.010116 -0.347882
199301914133493 0.010198 -0.357255
199299415363255 0.010274 -0.369977
199296916593018 0.010328 -0.386786
199294417822781 0.010335 -0.407988
199291919052543 0.010263 -0.432653
199289420282306 0.010074 -0.457332
199286921512069 0.009755 -0.474869
199284422741831 0.009352 -0.475405
199281923971594 0.008988 -0.452472
199279425201356 0.008799 -0.411643
199276926431119 0.008826 -0.369305
199274427660882 0.009004 -0.339049
199271928890644 0.009234 -0.323792
199269430120407 0.009448 -0.319755
199266931350170 0.009621 -0.322136
199264432579932 0.009750 -0.327449
199261933809695 0.009844 -0.333669
199259435039457 0.009910 -0.339779
199256936269220 0.009958 -0.345340
199254437498983 0.009994 -0.350214
199251938728745 0.010020 -0.354405
199249439958508 0.010041 -0.357977
199246941188270 0.010059 -0.361013
199244442418033 0.010075 -0.363593
199241943647796 0.010089 -0.365793
199239444877558 0.010103 -0.367676
199236946107321 0.010117 -0.369296
199234447337084 0.010131 -0.370696
199231948566846 0.010146 -0.371913
199229449796609 0.010161 -0.372976
199226951026371 0.010178 -0.373911
199224452256134 0.010195 -0.374736
199221953485897 0.010212 -0.375471
199219454715659 0.010232 -0.376129
199216955945422 0.010252 -0.376726
199214457175185 0.010273 -0.377273
199211958404947 0.010296 -0.377784
199209459634710 0.010321 -0.378273
199206960864472 0.010348 -0.378758
199204462094235 0.010376 -0.379257
199201963323998 0.010407 -0.379796
199199464553760 0.010441 -0.380407
199196965783523 0.010478 -0.381133
199194467013285 0.010518 -0.382029
199191968243048 0.010563 -0.383174
199189469472811 0.010611 -0.384671
199186970702573 0.010665 -0.386662
199184471932336 0.010724 -0.389341
199181973162099 0.010788 -0.392968
199179474391861 0.010856 -0.397893
199176975621624 0.010927 -0.404570
199174476851386 0.010995 -0.413560
199171978081149 0.011053 -0.425490
199169479310912 0.011083 -0.440896
199166980540674 0.011062 -0.459841
199164481770437 0.010956 -0.481125
199161983000200 0.010732 -0.501012
199159484229962 0.010381 -0.512041
199156985459725 0.009967 -0.504259
199154486689487 0.009635 -0.472419
199151987919250 0.009536 -0.425729
199149489149013 0.009692 -0.384052
199146990378775 0.009989 -0.360317
199144491608538 0.010300 -0.354006
199141992838300 0.010554 -0.358536
199139494068063 0.010734 -0.367887
199136995297826 0.010852 -0.378391
199134496527588 0.010924 -0.388270
199131997757351 0.010966 -0.396853
199129498987114 0.010989 -0.404016
199127000216876 0.011000 -0.409870
199124501446639 0.011005 -0.414605
199122002676401 0.011006 -0.418416
199119503906164 0.011007 -0.421480
199117005135927 0.011008 -0.423946
199114506365689 0.011010 -0.425934
199112007595452 0.011012 -0.427541
199109508825215 0.011017 -0.428841
199107010054977 0.011023 -0.429896
199104511284740 0.011030 -0.430754
199102012514502 0.011039 -0.431451
199099513744265 0.011050 -0.432019
199097014974028 0.011063 -0.432483
199094516203790 0.011077 -0.432863
199092017433553 0.011093 -0.433176
199089518663316 0.011111 -0.433439
199087019893078 0.011131 -0.433666
199084521122841 0.011152 -0.433871
199082022352603 0.011176 -0.434070
199079523582366 0.011202 -0.434279
199077024812129 0.011230 -0.434519
199074526041891 0.011261 -0.434813
199072027271654 0.011295 -0.435193
199069528501416 0.011332 -0.435695
199067029731179 0.011373 -0.436372
199064530960942 0.011418 -0.437288
199062032190704 0.011466 -0.438532
199059533420467 0.011520 -0.440219
199057034650230 0.011578 -0.442503
199054535879992 0.011640 -0.445587
199052037109755 0.011707 -0.449735
199049538339517 0.011775 -0.455284
199047039569280 0.011842 -0.462642
199044540799043 0.011899 -0.472261
199042042028805 0.011936 -0.484535
199039543258568 0.011934 -0.499560
199037044488331 0.011867 -0.516634
199034545718093 0.011705 -0.533415
199032046947856 0.011436 -0.544989
199029548177618 0.011092 -0.544086
199027049407381 0.010775 -0.524979
199024550637144 0.010625 -0.490978
199022051866906 0.010707 -0.456060
199019553096669 0.010953 -0.433572
199017054326431 0.011239 -0.426462
199014555556194 0.011480 -0.430115
199012056785957 0.011648 -0.438829
199009558015719 0.011750 -0.448737
199007059245482 0.011804 -0.457893
199004560475245 0.011828 -0.465581
199002061705007 0.011835 -0.471706
198999562934770 0.011832 -0.476433
198997064164532 0.011825 -0.480004
198994565394295 0.011818 -0.482659
198992066624058 0.011812 -0.484605
198989567853820 0.011809 -0.486009
198987069083583 0.011808 -0.487004
198984570313346 0.011809 -0.487691
198982071543108 0.011814 -0.488150
198979572772871 0.011821 -0.488441
198977074002633 0.011831 -0.488609
198974575232396 0.011843 -0.488691
198972076462159 0.011858 -0.488713
198969577691921 0.011875 -0.488699
198967078921684 0.011894 -0.488667
198964580151446 0.011915 -0.488632
198962081381209 0.011939 -0.488608
198959582610972 0.011965 -0.488608
198957083840734 0.011993 -0.488645
198954585070497 0.012023 -0.488734
198952086300260 0.012056 -0.488891
198949587530022 0.012091 -0.489134
198947088759785 0.012130 -0.489486
198944589989547 0.012171 -0.489977
198942091219310 0.012215 -0.490643
198939592449073 0.012263 -0.491529
198937093678835 0.012315 -0.492696
198934594908598 0.012370 -0.494221
198932096138361 0.012430 -0.496206
198929597368123 0.012494 -0.498781
198927098597886 0.012562 -0.502117
198924599827648 0.012634 -0.506434
198922101057411 0.012706 -0.512008
198919602287174 0.012777 -0.519172
198917103516936 0.012840 -0.528298
198914604746699 0.012885 -0.539731
198912105976461 0.012897 -0.553612
198909607206224 0.012851 -0.569521
198907108435987 0.012723 -0.585835
198904609665749 0.012493 -0.598906
198902110895512 0.012177 -0.602867
198899612125275 0.011856 -0.592045
198897113355037 0.011658 -0.566975
198894614584800 0.011669 -0.537892
198892115814562 0.011849 -0.517196
198889617044325 0.012085 -0.509333
198887118274088 0.012287 -0.511071
198884619503850 0.012423 -0.517340
198882120733613 0.012500 -0.524550
198879621963376 0.012537 -0.530950
198877123193138 0.012549 -0.535974
198874624422901 0.012550 -0.539633
198872125652663 0.012547 -0.542153
198869626882426 0.012544 -0.543798
198867128112189 0.012543 -0.544807
198864629341951 0.012545 -0.545370
198862130571714 0.012550 -0.545634
198859631801476 0.012560 -0.545706
198857133031239 0.012572 -0.545663
198854634261002 0.012588 -0.545562
198852135490764 0.012606 -0.545442
198849636720527 0.012627 -0.545332
198847137950290 0.012650 -0.545253
198844639180052 0.012675 -0.545219
198842140409815 0.012702 -0.545240
198839641639577 0.012731 -0.545326
198837142869340 0.012762 -0.545483
198834644099103 0.012794 -0.545719
198832145328865 0.012828 -0.546039
198829646558628 0.012864 -0.546451
198827147788391 0.012902 -0.546963
198824649018153 0.012942 -0.547585
198822150247916 0.012983 -0.548332
198819651477678 0.013027 -0.549218
198817152707441 0.013073 -0.550266
198814653937204 0.013121 -0.551501
198812155166966 0.013172 -0.552960
198809656396729 0.013226 -0.554686
198807157626491 0.013283 -0.556737
198804658856254 0.013342 -0.559189
198802160086017 0.013405 -0.562139
198799661315779 0.013471 -0.565711
198797162545542 0.013539 -0.570067
198794663775305 0.013609 -0.575412
198792165005067 0.013677 -0.581996
198789666234830 0.013740 -0.590112
198787167464592 0.013792 -0.600066
198784668694355 0.013820 -0.612092
198782169924118 0.013809 -0.626165
