('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006301 -0.140547
199859139896429 0.006304 -0.143099
199856641126191 0.006309 -0.145111
199854142355954 0.006314 -0.146709
199851643585717 0.006321 -0.147987
199849144815479 0.006329 -0.149014
199846646045242 0.006338 -0.149842
199844147275005 0.006349 -0.150510
199841648504767 0.006360 -0.151048
199839149734530 0.006372 -0.151479
199836650964292 0.006386 -0.151822
199834152194055 0.006400 -0.152093
199831653423818 0.006415 -0.152304
199829154653580 0.006432 -0.152467
199826655883343 0.006449 -0.152595
199824157113105 0.006468 -0.152702
199821658342868 0.006488 -0.152803
199819159572631 0.006510 -0.152921
199816660802393 0.006534 -0.153083
199814162032156 0.006560 -0.153329
199811663261919 0.006588 -0.153715
199809164491681 0.006619 -0.154319
199806665721444 0.006654 -0.155256
199804166951206 0.006693 -0.156691
199801668180969 0.006736 -0.158868
199799169410732 0.006784 -0.162140
199796670640494 0.006837 -0.167024
199794171870257 0.006894 -0.174264
199791673100020 0.006951 -0.184898
199789174329782 0.007000 -0.200273
199786675559545 0.007023 -0.221838
199784176789307 0.006985 -0.250276
199781678019070 0.006834 -0.283014
199779179248833 0.006515 -0.308857
199776680478595 0.006052 -0.302127
199774181708358 0.005667 -0.235740
199771682938120 0.005662 -0.133880
199769184167883 0.006025 -0.066077
199766685397646 0.006467 -0.052226
199764186627408 0.006803 -0.068429
199761687857171 0.007006 -0.093273
199759189086934 0.007112 -0.116964
199756690316696 0.007159 -0.136533
199754191546459 0.007175 -0.151785
199751692776221 0.007174 -0.163394
199749194005984 0.007166 -0.172159
199746695235747 0.007156 -0.178777
199744196465509 0.007146 -0.183795
199741697695272 0.007138 -0.187620
199739198925035 0.007132 -0.190557
199736700154797 0.007128 -0.192826
199734201384560 0.007126 -0.194589
199731702614322 0.007126 -0.195967
199729203844085 0.007128 -0.197047
199726705073848 0.007132 -0.197896
199724206303610 0.007137 -0.198562
199721707533373 0.007143 -0.199084
199719208763135 0.007151 -0.199490
199716709992898 0.007160 -0.199802
199714211222661 0.007170 -0.200037
199711712452423 0.007181 -0.200208
199709213682186 0.007193 -0.200326
199706714911949 0.007207 -0.200402
199704216141711 0.007221 -0.200442
199701717371474 0.007237 -0.200456
199699218601236 0.007253 -0.200451
199696719830999 0.007271 -0.200437
199694221060762 0.007291 -0.200425
199691722290524 0.007312 -0.200430
199689223520287 0.007334 -0.200470
199686724750050 0.007359 -0.200571
199684225979812 0.007386 -0.200768
199681727209575 0.007415 -0.201110
199679228439337 0.007447 -0.201663
199676729669100 0.007482 -0.202520
199674230898863 0.007521 -0.203814
199671732128625 0.007565 -0.205729
199669233358388 0.007612 -0.208523
199666734588150 0.007664 -0.212555
199664235817913 0.007720 -0.218316
199661737047676 0.007775 -0.226458
199659238277438 0.007826 -0.237780
199656739507201 0.007861 -0.253121
199654240736964 0.007859 -0.272980
199651741966726 0.007792 -0.296580
199649243196489 0.007623 -0.320035
199646744426251 0.007336 -0.333943
199644245656014 0.006980 -0.323769
199641746885777 0.006706 -0.280644
199639248115539 0.006668 -0.219425
199636749345302 0.006867 -0.170921
199634250575065 0.007164 -0.149851
199631751804827 0.007436 -0.150213
199629253034590 0.007635 -0.161127
199626754264352 0.007764 -0.175144
199624255494115 0.007840 -0.188638
199621756723878 0.007882 -0.200280
199619257953640 0.007903 -0.209829
199616759183403 0.007912 -0.217473
199614260413165 0.007916 -0.223529
199611761642928 0.007916 -0.228313
199609262872691 0.007916 -0.232096
199606764102453 0.007916 -0.235100
199604265332216 0.007917 -0.237501
199601766561979 0.007919 -0.239432
199599267791741 0.007922 -0.240998
199596769021504 0.007927 -0.242279
199594270251266 0.007933 -0.243338
199591771481029 0.007941 -0.244223
199589272710792 0.007949 -0.244973
199586773940554 0.007959 -0.245617
199584275170317 0.007970 -0.246180
199581776400080 0.007982 -0.246683
199579277629842 0.007996 -0.247144
199576778859605 0.008010 -0.247577
199574280089367 0.008026 -0.247999
199571781319130 0.008043 -0.248424
199569282548893 0.008061 -0.248867
199566783778655 0.008080 -0.249347
199564285008418 0.008101 -0.249883
199561786238180 0.008124 -0.250500
199559287467943 0.008148 -0.251229
199556788697706 0.008173 -0.252109
199554289927468 0.008201 -0.253188
199551791157231 0.008230 -0.254531
199549292386994 0.008262 -0.256220
199546793616756 0.008295 -0.258360
199544294846519 0.008330 -0.261091
199541796076281 0.008367 -0.264585
199539297306044 0.008404 -0.269059
199536798535807 0.008439 -0.274772
199534299765569 0.008469 -0.282007
199531800995332 0.008490 -0.291019
199529302225095 0.008492 -0.301916
199526803454857 0.008464 -0.314414
199524304684620 0.008394 -0.327422
199521805914382 0.008269 -0.338471
199519307144145 0.008090 -0.343349
199516808373908 0.007884 -0.336887
199514309603670 0.007712 -0.316141
199511810833433 0.007641 -0.284803
199509312063195 0.007703 -0.253161
199506813292958 0.007863 -0.230970
199504314522721 0.008060 -0.221321
199501815752483 0.008242 -0.221650
199499316982246 0.008385 -0.227756
199496818212009 0.008487 -0.236243
199494319441771 0.008556 -0.245056
199491820671534 0.008600 -0.253181
199489321901296 0.008627 -0.260237
199486823131059 0.008644 -0.266172
199484324360822 0.008654 -0.271083
199481825590584 0.008661 -0.275116
199479326820347 0.008666 -0.278423
199476828050110 0.008671 -0.281141
199474329279872 0.008677 -0.283387
199471830509635 0.008682 -0.285258
199469331739397 0.008689 -0.286832
199466832969160 0.008697 -0.288172
199464334198923 0.008706 -0.289328
199461835428685 0.008716 -0.290340
199459336658448 0.008728 -0.291242
199456837888210 0.008740 -0.292061
199454339117973 0.008754 -0.292818
199451840347736 0.008768 -0.293535
199449341577498 0.008784 -0.294228
199446842807261 0.008801 -0.294913
199444344037024 0.008820 -0.295608
199441845266786 0.008840 -0.296329
199439346496549 0.008861 -0.297095
199436847726311 0.008883 -0.297926
199434348956074 0.008907 -0.298848
199431850185837 0.008933 -0.299892
199429351415599 0.008960 -0.301097
199426852645362 0.008990 -0.302511
199424353875125 0.009022 -0.304198
199421855104887 0.009055 -0.306240
199419356334650 0.009091 -0.308743
199416857564412 0.009130 -0.311846
199414358794175 0.009169 -0.315733
199411860023938 0.009210 -0.320638
199409361253700 0.009251 -0.326861
199406862483463 0.009288 -0.334769
199404363713225 0.009316 -0.344779
199401864942988 0.009326 -0.357290
199399366172751 0.009306 -0.372502
199396867402513 0.009234 -0.389998
199394368632276 0.009086 -0.407942
199391869862039 0.008839 -0.421807
199389371091801 0.008501 -0.423285
199386872321564 0.008142 -0.402036
199384373551326 0.007904 -0.354562
199381874781089 0.007920 -0.295377
199379376010852 0.008180 -0.249368
199376877240614 0.008550 -0.228933
199374378470377 0.008896 -0.229586
199371879700140 0.009158 -0.241508
199369380929902 0.009331 -0.257195
199366882159665 0.009435 -0.272625
199364383389427 0.009492 -0.286152
199361884619190 0.009521 -0.297380
199359385848953 0.009532 -0.306453
199356887078715 0.009535 -0.313698
199354388308478 0.009533 -0.319468
199351889538240 0.009530 -0.324075
199349390768003 0.009527 -0.327778
199346891997766 0.009525 -0.330782
199344393227528 0.009525 -0.333247
199341894457291 0.009526 -0.335297
199339395687054 0.009530 -0.337026
199336896916816 0.009535 -0.338509
199334398146579 0.009541 -0.339801
199331899376341 0.009550 -0.340948
199329400606104 0.009560 -0.341985
199326901835867 0.009571 -0.342941
199324403065629 0.009583 -0.343839
199321904295392 0.009597 -0.344700
199319405525155 0.009613 -0.345541
199316906754917 0.009629 -0.346380
199314407984680 0.009647 -0.347234
199311909214442 0.009667 -0.348118
199309410444205 0.009687 -0.349054
199306911673968 0.009709 -0.350062
199304412903730 0.009733 -0.351168
199301914133493 0.009758 -0.352405
199299415363255 0.009785 -0.353813
199296916593018 0.009813 -0.355440
199294417822781 0.009844 -0.357352
199291919052543 0.009876 -0.359630
199289420282306 0.009909 -0.362380
199286921512069 0.009944 -0.365735
199284422741831 0.009979 -0.369867
199281923971594 0.010013 -0.374990
199279425201356 0.010043 -0.381358
199276926431119 0.010066 -0.389260
199274427660882 0.010075 -0.398969
199271928890644 0.010059 -0.410636
199269430120407 0.010004 -0.424037
199266931350170 0.009890 -0.438103
199264432579932 0.009698 -0.450118
199261933809695 0.009421 -0.454795
199259435039457 0.009092 -0.444352
199256936269220 0.008808 -0.412331
199254437498983 0.008705 -0.362390
199251938728745 0.008860 -0.312250
199249439958508 0.009207 -0.280456
199246941188270 0.009607 -0.271664
