('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006439 -0.125153
199859139896429 0.006435 -0.134032
199856641126191 0.006429 -0.140714
199854142355954 0.006422 -0.145748
199851643585717 0.006417 -0.149562
199849144815479 0.006414 -0.152475
199846646045242 0.006412 -0.154719
199844147275005 0.006413 -0.156465
199841648504767 0.006415 -0.157838
199839149734530 0.006419 -0.158927
199836650964292 0.006424 -0.159802
199834152194055 0.006431 -0.160511
199831653423818 0.006439 -0.161092
199829154653580 0.006449 -0.161575
199826655883343 0.006459 -0.161981
199824157113105 0.006471 -0.162330
199821658342868 0.006483 -0.162635
199819159572631 0.006497 -0.162910
199816660802393 0.006511 -0.163169
199814162032156 0.006527 -0.163423
199811663261919 0.006543 -0.163688
199809164491681 0.006561 -0.163982
199806665721444 0.006580 -0.164324
199804166951206 0.006601 -0.164744
199801668180969 0.006622 -0.165278
199799169410732 0.006646 -0.165977
199796670640494 0.006672 -0.166911
199794171870257 0.006700 -0.168174
199791673100020 0.006730 -0.169901
199789174329782 0.006763 -0.172282
199786675559545 0.006798 -0.175581
199784176789307 0.006835 -0.180176
199781678019070 0.006873 -0.186589
199779179248833 0.006908 -0.195529
199776680478595 0.006933 -0.207895
199774181708358 0.006935 -0.224645
199771682938120 0.006889 -0.246267
199769184167883 0.006756 -0.271183
199766685397646 0.006489 -0.291897
199764186627408 0.006077 -0.288525
199761687857171 0.005663 -0.230197
199759189086934 0.005583 -0.118558
199756690316696 0.005984 -0.028487
199754191546459 0.006570 -0.008004
199751692776221 0.007034 -0.032837
199749194005984 0.007303 -0.070728
199746695235747 0.007423 -0.105995
199744196465509 0.007457 -0.134148
199741697695272 0.007448 -0.155249
199739198925035 0.007420 -0.170655
199736700154797 0.007388 -0.181800
199734201384560 0.007356 -0.189860
199731702614322 0.007328 -0.195709
199729203844085 0.007304 -0.199979
199726705073848 0.007285 -0.203118
199724206303610 0.007271 -0.205439
199721707533373 0.007260 -0.207168
199719208763135 0.007252 -0.208464
199716709992898 0.007248 -0.209441
199714211222661 0.007246 -0.210183
