('port 0','TE',1,'port 0',1,'transmission')
199396867402513 0.007942 -0.379075
199394368632276 0.007915 -0.324955
199391869862039 0.008097 -0.282128
199389371091801 0.008372 -0.259597
199386872321564 0.008640 -0.253822
199384373551326 0.008856 -0.257752
199381874781089 0.009013 -0.265910
199379376010852 0.009122 -0.275142
199376877240614 0.009195 -0.283941
199374378470377 0.009244 -0.291724
199371879700140 0.009278 -0.298361
199369380929902 0.009301 -0.303925
199366882159665 0.009319 -0.308557
199364383389427 0.009333 -0.312410
199361884619190 0.009345 -0.315625
199359385848953 0.009356 -0.318324
199356887078715 0.009367 -0.320606
199354388308478 0.009378 -0.322554
199351889538240 0.009390 -0.324231
199349390768003 0.009403 -0.325691
199346891997766 0.009416 -0.326976
199344393227528 0.009431 -0.328120
199341894457291 0.009446 -0.329151
199339395687054 0.009463 -0.330091
199336896916816 0.009480 -0.330961
199334398146579 0.009499 -0.331777
199331899376341 0.009518 -0.332557
199329400606104 0.009539 -0.333314
199326901835867 0.009562 -0.334065
199324403065629 0.009586 -0.334826
199321904295392 0.009611 -0.335616
199319405525155 0.009639 -0.336458
199316906754917 0.009668 -0.337380
199314407984680 0.009700 -0.338417
199311909214442 0.009734 -0.339614
199309410444205 0.009771 -0.341031
199306911673968 0.009811 -0.342745
199304412903730 0.009854 -0.344859
199301914133493 0.009901 -0.347512
199299415363255 0.009952 -0.350885
199296916593018 0.010006 -0.355221
199294417822781 0.010061 -0.360834
199291919052543 0.010117 -0.368124
199289420282306 0.010168 -0.377576
199286921512069 0.010207 -0.389715
199284422741831 0.010221 -0.404978
199281923971594 0.010189 -0.423396
199279425201356 0.010083 -0.443949
199276926431119 0.009875 -0.463483
199274427660882 0.009552 -0.475493
199271928890644 0.009154 -0.470377
199269430120407 0.008798 -0.440556
199266931350170 0.008634 -0.390619
199264432579932 0.008729 -0.339603
199261933809695 0.009009 -0.305383
199259435039457 0.009343 -0.291812
199256936269220 0.009639 -0.293037
199254437498983 0.009864 -0.301896
199251938728745 0.010020 -0.313438
199249439958508 0.010122 -0.325010
199246941188270 0.010185 -0.335458
199244442418033 0.010224 -0.344424
199241943647796 0.010246 -0.351926
199239444877558 0.010260 -0.358130
199236946107321 0.010268 -0.363240
199234447337084 0.010273 -0.367454
199231948566846 0.010278 -0.370942
199229449796609 0.010282 -0.373847
199226951026371 0.010287 -0.376284
199224452256134 0.010292 -0.378347
199221953485897 0.010299 -0.380109
199219454715659 0.010307 -0.381630
199216955945422 0.010317 -0.382955
199214457175185 0.010327 -0.384125
199211958404947 0.010339 -0.385169
199209459634710 0.010353 -0.386115
199206960864472 0.010368 -0.386984
199204462094235 0.010384 -0.387797
199201963323998 0.010402 -0.388571
199199464553760 0.010422 -0.389326
199196965783523 0.010443 -0.390080
199194467013285 0.010466 -0.390854
199191968243048 0.010491 -0.391672
199189469472811 0.010518 -0.392562
199186970702573 0.010547 -0.393560
199184471932336 0.010579 -0.394710
199181973162099 0.010613 -0.396069
199179474391861 0.010651 -0.397713
199176975621624 0.010691 -0.399740
199174476851386 0.010735 -0.402277
199171978081149 0.010782 -0.405496
199169479310912 0.010832 -0.409619
199166980540674 0.010883 -0.414935
199164481770437 0.010932 -0.421807
199161983000200 0.010976 -0.430674
199159484229962 0.011005 -0.442005
199156985459725 0.011006 -0.456183
199154486689487 0.010957 -0.473192
199151987919250 0.010829 -0.491970
199149489149013 0.010590 -0.509249
199146990378775 0.010226 -0.518066
199144491608538 0.009783 -0.507672
199141992838300 0.009409 -0.469369
199139494068063 0.009296 -0.409869
199136995297826 0.009521 -0.354344
199134496527588 0.009957 -0.323777
199131997757351 0.010415 -0.319048
199129498987114 0.010780 -0.330080
199127000216876 0.011025 -0.347340
199124501446639 0.011170 -0.365203
199122002676401 0.011245 -0.381168
199119503906164 0.011276 -0.394486
199117005135927 0.011282 -0.405210
199114506365689 0.011274 -0.413689
199112007595452 0.011259 -0.420337
199109508825215 0.011243 -0.425535
199107010054977 0.011227 -0.429599
199104511284740 0.011213 -0.432787
199102012514502 0.011202 -0.435295
199099513744265 0.011194 -0.437279
199097014974028 0.011189 -0.438856
199094516203790 0.011186 -0.440119
199092017433553 0.011186 -0.441136
199089518663316 0.011189 -0.441964
199087019893078 0.011194 -0.442646
199084521122841 0.011201 -0.443216
199082022352603 0.011211 -0.443702
199079523582366 0.011223 -0.444129
199077024812129 0.011237 -0.444517
199074526041891 0.011253 -0.444885
199072027271654 0.011272 -0.445252
199069528501416 0.011292 -0.445636
199067029731179 0.011315 -0.446057
199064530960942 0.011340 -0.446539
199062032190704 0.011367 -0.447108
199059533420467 0.011397 -0.447797
199057034650230 0.011430 -0.448645
199054535879992 0.011465 -0.449704
199052037109755 0.011504 -0.451038
199049538339517 0.011545 -0.452730
199047039569280 0.011590 -0.454885
199044540799043 0.011637 -0.457639
199042042028805 0.011687 -0.461166
199039543258568 0.011738 -0.465685
199037044488331 0.011787 -0.471462
199034545718093 0.011830 -0.478807
199032046947856 0.011862 -0.488043
199029548177618 0.011870 -0.499412
199027049407381 0.011839 -0.512876
199024550637144 0.011746 -0.527701
199022051866906 0.011566 -0.541727
199019553096669 0.011285 -0.550424
199017054326431 0.010927 -0.546575
199014555556194 0.010588 -0.523096
199012056785957 0.010424 -0.481071
199009558015719 0.010543 -0.435625
199007059245482 0.010893 -0.405543
199004560475245 0.011313 -0.397238
199002061705007 0.011671 -0.404949
198999562934770 0.011915 -0.420124
198997064164532 0.012054 -0.436714
198994565394295 0.012118 -0.451698
198992066624058 0.012134 -0.464037
198989567853820 0.012124 -0.473690
198987069083583 0.012102 -0.481010
198984570313346 0.012075 -0.486450
198982071543108 0.012049 -0.490432
198979572772871 0.012026 -0.493310
198977074002633 0.012008 -0.495365
198974575232396 0.011993 -0.496811
198972076462159 0.011984 -0.497810
198969577691921 0.011979 -0.498485
198967078921684 0.011978 -0.498928
198964580151446 0.011980 -0.499207
198962081381209 0.011986 -0.499377
198959582610972 0.011995 -0.499476
198957083840734 0.012007 -0.499536
198954585070497 0.012022 -0.499583
198952086300260 0.012040 -0.499637
198949587530022 0.012060 -0.499717
198947088759785 0.012083 -0.499838
198944589989547 0.012108 -0.500018
198942091219310 0.012135 -0.500272
198939592449073 0.012165 -0.500621
198937093678835 0.012197 -0.501083
198934594908598 0.012232 -0.501686
198932096138361 0.012269 -0.502458
198929597368123 0.012310 -0.503437
198927098597886 0.012353 -0.504670
198924599827648 0.012399 -0.506216
198922101057411 0.012448 -0.508148
198919602287174 0.012500 -0.510562
198917103516936 0.012554 -0.513576
198914604746699 0.012610 -0.517344
198912105976461 0.012667 -0.522054
198909607206224 0.012723 -0.527937
198907108435987 0.012773 -0.535266
198904609665749 0.012812 -0.544329
198902110895512 0.012830 -0.555371
198899612125275 0.012812 -0.568444
198897113355037 0.012737 -0.583090
198894614584800 0.012580 -0.597756
198892115814562 0.012320 -0.608911
198889617044325 0.011967 -0.610368
198887118274088 0.011596 -0.594728
198884619503850 0.011358 -0.559853
198882120733613 0.011398 -0.516922
198879621963376 0.011705 -0.485123
198877123193138 0.012118 -0.474267
198874624422901 0.012479 -0.480247
198872125652663 0.012719 -0.494219
198869626882426 0.012846 -0.509538
198867128112189 0.012894 -0.522948
198864629341951 0.012896 -0.533463
198862130571714 0.012875 -0.541189
198859631801476 0.012847 -0.546625
198857133031239 0.012820 -0.550321
198854634261002 0.012796 -0.552755
198852135490764 0.012779 -0.554303
198849636720527 0.012767 -0.555246
198847137950290 0.012762 -0.555788
198844639180052 0.012762 -0.556074
198842140409815 0.012766 -0.556208
198839641639577 0.012776 -0.556264
198837142869340 0.012788 -0.556293
