('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006364 -0.136494
199859139896429 0.006361 -0.141138
199856641126191 0.006360 -0.144705
199854142355954 0.006360 -0.147469
199851643585717 0.006362 -0.149628
199849144815479 0.006365 -0.151330
199846646045242 0.006370 -0.152684
199844147275005 0.006376 -0.153769
199841648504767 0.006383 -0.154645
199839149734530 0.006392 -0.155358
199836650964292 0.006402 -0.155941
199834152194055 0.006412 -0.156420
199831653423818 0.006424 -0.156817
199829154653580 0.006437 -0.157149
199826655883343 0.006451 -0.157429
199824157113105 0.006466 -0.157672
199821658342868 0.006482 -0.157889
199819159572631 0.006500 -0.158096
199816660802393 0.006518 -0.158307
199814162032156 0.006538 -0.158542
199811663261919 0.006559 -0.158827
199809164491681 0.006582 -0.159195
199806665721444 0.006607 -0.159693
199804166951206 0.006635 -0.160385
199801668180969 0.006665 -0.161361
199799169410732 0.006698 -0.162749
199796670640494 0.006734 -0.164731
199794171870257 0.006775 -0.167571
199791673100020 0.006818 -0.171644
199789174329782 0.006865 -0.177490
199786675559545 0.006912 -0.185860
199784176789307 0.006955 -0.197768
199781678019070 0.006982 -0.214433
199779179248833 0.006971 -0.236929
199776680478595 0.006885 -0.264976
199774181708358 0.006669 -0.293733
199771682938120 0.006285 -0.307539
199769184167883 0.005814 -0.276026
199766685397646 0.005549 -0.181279
199764186627408 0.005751 -0.076172
199761687857171 0.006255 -0.029033
199759189086934 0.006733 -0.035633
199756690316696 0.007050 -0.064379
199754191546459 0.007218 -0.095779
199751692776221 0.007291 -0.122655
199749194005984 0.007311 -0.143661
199746695235747 0.007305 -0.159469
199744196465509 0.007288 -0.171197
199741697695272 0.007268 -0.179871
199739198925035 0.007249 -0.186304
199736700154797 0.007232 -0.191103
199734201384560 0.007218 -0.194706
199731702614322 0.007207 -0.197433
199729203844085 0.007199 -0.199511
199726705073848 0.007194 -0.201106
199724206303610 0.007192 -0.202337
199721707533373 0.007192 -0.203293
199719208763135 0.007194 -0.204039
199716709992898 0.007197 -0.204624
199714211222661 0.007202 -0.205083
199711712452423 0.007209 -0.205445
199709213682186 0.007217 -0.205732
199706714911949 0.007226 -0.205959
199704216141711 0.007236 -0.206140
199701717371474 0.007248 -0.206288
199699218601236 0.007261 -0.206411
199696719830999 0.007274 -0.206519
199694221060762 0.007289 -0.206621
199691722290524 0.007305 -0.206727
199689223520287 0.007322 -0.206849
199686724750050 0.007341 -0.207001
199684225979812 0.007361 -0.207200
199681727209575 0.007383 -0.207469
199679228439337 0.007406 -0.207839
199676729669100 0.007431 -0.208349
199674230898863 0.007458 -0.209054
199671732128625 0.007488 -0.210026
199669233358388 0.007520 -0.211366
199666734588150 0.007555 -0.213211
199664235817913 0.007593 -0.215745
199661737047676 0.007634 -0.219221
199659238277438 0.007676 -0.223976
199656739507201 0.007717 -0.230449
199654240736964 0.007755 -0.239177
199651741966726 0.007781 -0.250745
199649243196489 0.007784 -0.265585
199646744426251 0.007742 -0.283482
199644245656014 0.007630 -0.302509
199641746885777 0.007424 -0.317259
199639248115539 0.007131 -0.317378
199636749345302 0.006836 -0.290816
199634250575065 0.006689 -0.237454
199631751804827 0.006790 -0.180139
199629253034590 0.007076 -0.145066
199626754264352 0.007397 -0.137208
199624255494115 0.007657 -0.146627
199621756723878 0.007831 -0.162881
199619257953640 0.007934 -0.179837
199616759183403 0.007987 -0.194874
199614260413165 0.008010 -0.207276
199611761642928 0.008017 -0.217148
199609262872691 0.008014 -0.224876
199606764102453 0.008008 -0.230887
199604265332216 0.008001 -0.235560
199601766561979 0.007994 -0.239203
199599267791741 0.007989 -0.242060
199596769021504 0.007986 -0.244316
199594270251266 0.007985 -0.246113
199591771481029 0.007985 -0.247560
199589272710792 0.007987 -0.248737
199586773940554 0.007991 -0.249709
199584275170317 0.007997 -0.250524
199581776400080 0.008004 -0.251220
199579277629842 0.008012 -0.251828
199576778859605 0.008022 -0.252371
199574280089367 0.008033 -0.252871
199571781319130 0.008045 -0.253345
199569282548893 0.008058 -0.253808
199566783778655 0.008073 -0.254277
199564285008418 0.008089 -0.254766
199561786238180 0.008106 -0.255292
199559287467943 0.008124 -0.255874
199556788697706 0.008143 -0.256532
199554289927468 0.008164 -0.257292
199551791157231 0.008186 -0.258186
199549292386994 0.008209 -0.259254
199546793616756 0.008234 -0.260545
199544294846519 0.008260 -0.262121
199541796076281 0.008287 -0.264063
199539297306044 0.008316 -0.266471
199536798535807 0.008345 -0.269471
199534299765569 0.008374 -0.273217
199531800995332 0.008401 -0.277890
199529302225095 0.008424 -0.283688
199526803454857 0.008439 -0.290792
199524304684620 0.008440 -0.299290
199521805914382 0.008420 -0.309023
199519307144145 0.008367 -0.319306
199516808373908 0.008272 -0.328502
199514309603670 0.008129 -0.333577
199511810833433 0.007953 -0.330189
199509312063195 0.007784 -0.314401
199506813292958 0.007689 -0.286560
199504314522721 0.007717 -0.254173
199501815752483 0.007865 -0.228182
199499316982246 0.008077 -0.215075
199496818212009 0.008288 -0.214196
199494319441771 0.008459 -0.221176
199491820671534 0.008580 -0.231665
199489321901296 0.008658 -0.242773
199486823131059 0.008704 -0.253018
199484324360822 0.008728 -0.261828
199481825590584 0.008739 -0.269125
199479326820347 0.008742 -0.275047
199476828050110 0.008742 -0.279806
199474329279872 0.008741 -0.283621
199471830509635 0.008739 -0.286684
199469331739397 0.008739 -0.289156
199466832969160 0.008739 -0.291168
199464334198923 0.008742 -0.292824
199461835428685 0.008745 -0.294204
199459336658448 0.008750 -0.295373
199456837888210 0.008757 -0.296380
199454339117973 0.008765 -0.297267
199451840347736 0.008775 -0.298065
199449341577498 0.008785 -0.298799
199446842807261 0.008797 -0.299492
199444344037024 0.008811 -0.300162
199441845266786 0.008825 -0.300827
199439346496549 0.008841 -0.301502
199436847726311 0.008858 -0.302202
199434348956074 0.008876 -0.302945
199431850185837 0.008895 -0.303749
199429351415599 0.008916 -0.304635
199426852645362 0.008938 -0.305627
199424353875125 0.008961 -0.306758
199421855104887 0.008986 -0.308063
199419356334650 0.009012 -0.309592
199416857564412 0.009040 -0.311406
199414358794175 0.009069 -0.313582
199411860023938 0.009100 -0.316221
199409361253700 0.009132 -0.319453
199406862483463 0.009164 -0.323441
199404363713225 0.009195 -0.328394
199401864942988 0.009223 -0.334565
199399366172751 0.009245 -0.342244
199396867402513 0.009254 -0.351724
199394368632276 0.009242 -0.363199
199391869862039 0.009194 -0.376532
199389371091801 0.009093 -0.390777
199386872321564 0.008918 -0.403327
199384373551326 0.008659 -0.408783
199381874781089 0.008344 -0.398660
199379376010852 0.008067 -0.365217
199376877240614 0.007971 -0.311832
199374378470377 0.008137 -0.258747
199371879700140 0.008492 -0.227117
199369380929902 0.008886 -0.221032
199366882159665 0.009208 -0.231827
199364383389427 0.009426 -0.249660
199361884619190 0.009554 -0.268309
199359385848953 0.009619 -0.284933
199356887078715 0.009645 -0.298684
199354388308478 0.009648 -0.309639
199351889538240 0.009641 -0.318212
199349390768003 0.009629 -0.324876
199346891997766 0.009616 -0.330060
199344393227528 0.009604 -0.334113
199341894457291 0.009594 -0.337311
199339395687054 0.009587 -0.339863
199336896916816 0.009582 -0.341930
199334398146579 0.009580 -0.343630
199331899376341 0.009581 -0.345055
199329400606104 0.009583 -0.346274
199326901835867 0.009588 -0.347339
199324403065629 0.009594 -0.348291
199321904295392 0.009602 -0.349162
199319405525155 0.009612 -0.349977
199316906754917 0.009623 -0.350758
199314407984680 0.009636 -0.351523
199311909214442 0.009650 -0.352288
199309410444205 0.009665 -0.353067
199306911673968 0.009681 -0.353877
199304412903730 0.009699 -0.354734
199301914133493 0.009717 -0.355655
199299415363255 0.009737 -0.356662
199296916593018 0.009758 -0.357779
