('port 0','TE',1,'port 0',1,'transmission')
(5000,3)
199861638666666 0.006254 -0.141276
199859139896429 0.006262 -0.142723
199856641126191 0.006270 -0.143879
199854142355954 0.006280 -0.144803
199851643585717 0.006291 -0.145540
199849144815479 0.006303 -0.146123
199846646045242 0.006315 -0.146577
199844147275005 0.006329 -0.146923
199841648504767 0.006343 -0.147176
199839149734530 0.006359 -0.147348
199836650964292 0.006375 -0.147452
199834152194055 0.006393 -0.147497
199831653423818 0.006412 -0.147494
199829154653580 0.006432 -0.147457
199826655883343 0.006454 -0.147400
199824157113105 0.006477 -0.147348
199821658342868 0.006503 -0.147329
199819159572631 0.006532 -0.147388
199816660802393 0.006563 -0.147590
199814162032156 0.006598 -0.148030
199811663261919 0.006637 -0.148850
199809164491681 0.006682 -0.150259
199806665721444 0.006732 -0.152572
199804166951206 0.006788 -0.156255
199801668180969 0.006851 -0.161998
199799169410732 0.006918 -0.170793
199796670640494 0.006984 -0.183993
199794171870257 0.007034 -0.203221
199791673100020 0.007041 -0.229793
199789174329782 0.006957 -0.262869
199786675559545 0.006722 -0.295178
199784176789307 0.006321 -0.307093
199781678019070 0.005893 -0.270950
199779179248833 0.005720 -0.188247
199776680478595 0.005911 -0.112469
199774181708358 0.006270 -0.080607
199771682938120 0.006591 -0.082664
199769184167883 0.006810 -0.098865
199766685397646 0.006938 -0.117658
199764186627408 0.007007 -0.134498
199761687857171 0.007040 -0.148234
199759189086934 0.007053 -0.159001
199756690316696 0.007057 -0.167306
199754191546459 0.007056 -0.173682
199751692776221 0.007054 -0.178581
199749194005984 0.007051 -0.182360
199746695235747 0.007050 -0.185289
199744196465509 0.007050 -0.187571
199741697695272 0.007051 -0.189357
199739198925035 0.007054 -0.190758
199736700154797 0.007058 -0.191860
199734201384560 0.007063 -0.192724
199731702614322 0.007070 -0.193399
199729203844085 0.007077 -0.193919
199726705073848 0.007086 -0.194314
199724206303610 0.007096 -0.194603
199721707533373 0.007107 -0.194803
199719208763135 0.007119 -0.194926
199716709992898 0.007131 -0.194981
199714211222661 0.007145 -0.194978
199711712452423 0.007160 -0.194922
199709213682186 0.007176 -0.194819
199706714911949 0.007193 -0.194674
199704216141711 0.007211 -0.194495
199701717371474 0.007231 -0.194289
199699218601236 0.007252 -0.194065
199696719830999 0.007275 -0.193837
199694221060762 0.007300 -0.193624
199691722290524 0.007327 -0.193451
199689223520287 0.007357 -0.193359
199686724750050 0.007391 -0.193400
199684225979812 0.007428 -0.193656
199681727209575 0.007469 -0.194242
199679228439337 0.007516 -0.195326
199676729669100 0.007568 -0.197152
199674230898863 0.007627 -0.200069
199671732128625 0.007693 -0.204581
199669233358388 0.007763 -0.211385
199666734588150 0.007836 -0.221416
199664235817913 0.007901 -0.235803
199661737047676 0.007942 -0.255628
199659238277438 0.007929 -0.281176
199656739507201 0.007818 -0.310233
199654240736964 0.007574 -0.335319
199651741966726 0.007209 -0.342013
199649243196489 0.006848 -0.315661
199646744426251 0.006674 -0.260538
199644245656014 0.006756 -0.205122
199641746885777 0.006993 -0.172435
199639248115539 0.007250 -0.162949
199636749345302 0.007455 -0.167136
199634250575065 0.007598 -0.176880
199631751804827 0.007690 -0.187708
199629253034590 0.007747 -0.197683
199626754264352 0.007781 -0.206182
199624255494115 0.007801 -0.213163
199621756723878 0.007813 -0.218799
199619257953640 0.007821 -0.223316
199616759183403 0.007827 -0.226931
199614260413165 0.007832 -0.229830
199611761642928 0.007837 -0.232164
199609262872691 0.007843 -0.234053
199606764102453 0.007849 -0.235589
199604265332216 0.007856 -0.236846
199601766561979 0.007865 -0.237881
199599267791741 0.007874 -0.238740
199596769021504 0.007884 -0.239457
199594270251266 0.007896 -0.240061
199591771481029 0.007908 -0.240575
199589272710792 0.007921 -0.241017
199586773940554 0.007936 -0.241403
199584275170317 0.007951 -0.241749
199581776400080 0.007968 -0.242066
199579277629842 0.007986 -0.242369
199576778859605 0.008005 -0.242670
199574280089367 0.008025 -0.242984
199571781319130 0.008047 -0.243330
199569282548893 0.008071 -0.243729
199566783778655 0.008096 -0.244208
199564285008418 0.008123 -0.244802
199561786238180 0.008153 -0.245556
199559287467943 0.008185 -0.246528
199556788697706 0.008219 -0.247798
199554289927468 0.008256 -0.249469
199551791157231 0.008296 -0.251678
199549292386994 0.008339 -0.254605
199546793616756 0.008384 -0.258482
199544294846519 0.008430 -0.263603
199541796076281 0.008475 -0.270320
199539297306044 0.008514 -0.279013
199536798535807 0.008541 -0.290013
199534299765569 0.008544 -0.303405
199531800995332 0.008508 -0.318665
199529302225095 0.008417 -0.334073
199526803454857 0.008261 -0.346096
199524304684620 0.008052 -0.349424
199521805914382 0.007833 -0.339003
199519307144145 0.007678 -0.314425
199516808373908 0.007643 -0.282842
199514309603670 0.007727 -0.254941
199511810833433 0.007880 -0.237383
199509312063195 0.008049 -0.230458
199506813292958 0.008198 -0.231044
199504314522721 0.008314 -0.235722
199501815752483 0.008399 -0.242048
199499316982246 0.008459 -0.248605
199496818212009 0.008500 -0.254702
199494319441771 0.008529 -0.260071
199491820671534 0.008550 -0.264665
199489321901296 0.008565 -0.268536
199486823131059 0.008578 -0.271777
199484324360822 0.008589 -0.274485
199481825590584 0.008599 -0.276754
199479326820347 0.008609 -0.278664
